ID Cámara,Tipo,Ubicación,Resolución,Zoom Optico,Año Adquisición
CAM913,FIJA,MARCONI,1920x1080,0x,"2022"
CAM914,FIJA,MARCONI,1920x1080,0x,"2022"
CAM915,FIJA,MARCONI,1920x1080,0x,"2022"
CAM916,FIJA,MARCONI,1920x1080,0x,"2022"
CAM917,FIJA,MARCONI,1920x1080,0x,"2022"
CAM918,FIJA,MARCONI,1920x1080,0x,"2022"
CAM919,FIJA,MARCONI,1920x1080,0x,"2022"
CAM920,FIJA,MARCONI,1920x1080,0x,"2022"
CAM921,FIJA,MARCONI,1920x1080,0x,"2022"
CAM922,FIJA,MARCONI,1920x1080,0x,"2022"
CAM923,FIJA,MARCONI,1920x1080,0x,"2022"
CAM924,FIJA,MARCONI,1920x1080,0x,"2022"
CAM1001,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1002,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1003,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1004,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1005,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1006,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1007,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1008,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1009,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1010,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1011,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1012,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1013,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1014,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1015,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1016,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1017,DOMO,CHUECA,1920x1080,40x,"2022"
CAM1018,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1019,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1020,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1021,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1022,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1023,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1024,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1025,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1026,FIJA,CHUECA,1920x1080,0x,"2022"
