ID_Punto,DISTRITO,WIKIDATA_DISTRITO,BARRIO,WIKIDATA_BARRIO,ID_BARRIO,UBICACIÓN,CALLE,CALLE_ID,Nº_EQUIPOS,Mennekes_KW,CHAdeMO_KW,CCS_KW,Mennekes_Conectores,CHAdeMO_Conectores,CCS_Conectores,OPERADOR,FECHA_ALTA,HORARIO
01_EMT,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,Sol,Plaza de Jacinto Benavente 6,Plaza de Jacinto Benavente,PlazadeJacintoBenavente,1,50,50,50,1,2,2,EMT,2022-02-03T15:21:24Z,"24"
02_EMT,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,Recoletos,Jardines del Descubrimiento,Jardines del Descubrimiento,JardinesdelDescubrimiento,4,50,50,50,1,2,2,EMT,2022-02-03T15:21:24Z,"24"
03_EMT,Salamanca,https://wikidata.org/entity/Q1773521,Lista,https://wikidata.org/entity/Q4779,Lista,Plaza de Marqués de Salamanca,Plaza de Marqués de Salamanca,PlazadeMarquésdeSalamanca,1,50,50,50,1,2,2,EMT,2022-02-03T15:21:24Z,"24"
04_EMT,Chamartín,https://wikidata.org/entity/Q1766348,Castilla,https://wikidata.org/entity/Q3813735,Castilla,Calle de la Hiedra 36,Calle de la Hiedra,CalledelaHiedra,2,50,50,50,1,2,2,EMT,2022-02-03T15:21:24Z,"24"
01_PRIV,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,Palacio,Plaza de la Cebada,Plaza de la Cebada,PlazadelaCebada,1,,50,50,0,2,2,DRIVE THE CITY,2022-02-03T15:21:24Z,"24"
02_PRIV,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,Universidad,Calle Alberto Aguilera 9,Calle Alberto Aguilera,CalleAlbertoAguilera,1,,50,50,0,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
03_PRIV,Retiro,https://wikidata.org/entity/Q2002296,Adelfas,https://wikidata.org/entity/Q3774001,Adelfas,Plaza del Conde de Casal 6,Plaza del Conde de Casal,PlazadelCondedeCasal,2,,50,50,0,2,2,DRIVE THE CITY,2022-02-03T15:21:24Z,"24"
04_PRIV,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,El Goloso,https://wikidata.org/entity/Q10271137,ElGoloso,"Calle Monasterio de Arlanza, 20",Calle Monasterio de Arlanza,CalleMonasteriodeArlanza,2,,50,50,0,2,2,IBERDROLA,2022-02-03T15:21:24Z,"24"
05_PRIV,Hortaleza,https://wikidata.org/entity/Q1928529,Canillas,https://wikidata.org/entity/Q9694341,Canillas,Avenida de Machupichu 105,Avenida de Machupichu,AvenidadeMachupichu,1,,50,50,0,2,2,GIC,2022-02-03T15:21:24Z,"24"
06_PRIV,Hortaleza,https://wikidata.org/entity/Q1928529,Valdefuentes,https://wikidata.org/entity/Q10388714,Valdefuentes,Avenida de Niceto Alcala Zamora 20,Avenida de Niceto Alcala Zamora,AvenidadeNicetoAlcalaZamora,1,,50,50,0,2,2,GIC/ GALP,2022-02-03T15:21:24Z,"24"
07_PRIV,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,CascoHistóricodeVallecas,"Avenida Eje Central, 7",Avenida Eje Central,AvenidaEjeCentral,1,50,50,50,1,2,2,NATURGY,2022-02-03T15:21:24Z,"24"
08_PRIV,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,CascoHistóricodeVallecas,Carretera de Villaverde a Vallecas 278,Carretera de Villaverde a Vallecas,CarreteradeVillaverdeaVallecas,1,,50,50,0,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
09_PRIV,Barajas,https://wikidata.org/entity/Q807230,Corralejos,https://wikidata.org/entity/Q10260772,Corralejos,Avenida del Consejo de Europa 2,Avenida del Consejo de Europa,AvenidadelConsejodeEuropa,4,,,350,0,0,1,GIC / CEPSA,2022-02-03T15:21:24Z,"24"
10_PRIV,Barajas,https://wikidata.org/entity/Q807230,Corralejos,https://wikidata.org/entity/Q10260772,Corralejos,Avenida del Partenón 5,Avenida del Partenón,AvenidadelPartenón,2,,50,50,0,2,2,IBERDROLA,2022-02-03T15:21:24Z,"24"
1_PropDG,Arganzuela,https://wikidata.org/entity/Q2000929,Palos de la Frontera,https://wikidata.org/entity/Q521009,PalosdeMoguer,"Calle del General Lacy, 21",Calle del General Lacy,CalledelGeneralLacy,3,22,"100, 50","100, 50",1,3,3,TOTALENERGIES,2022-02-03T15:21:24Z,"24"
22_PropDG,Moratalaz,https://wikidata.org/entity/Q2076109,Pavones,https://wikidata.org/entity/Q71760,Pavones,Calle Hacienda de Pavones 231,Calle Hacienda de Pavones,CalleHaciendadePavones,3,22,50,"100, 50",1,1,3,IBERDROLA,2022-02-03T15:21:24Z,"24"
27_PropDG,Hortaleza,https://wikidata.org/entity/Q1928529,Pinar del Rey,https://wikidata.org/entity/Q10349788,PinardelRey,Glorieta De Sandro Pertini,Glorieta De Sandro Pertini,GlorietaDeSandroPertini,3,22,50,"100, 50",1,1,3,IBERDROLA,2022-02-03T15:21:24Z,"24"
30_PropDG,Villaverde,https://wikidata.org/entity/Q919536,Los Rosales,https://wikidata.org/entity/Q10319807,LosRosales,Calle de Santa Florencia,Calle de Santa Florencia,CalledeSantaFlorencia,3,22,50,"100, 50",1,1,3,IBERDROLA,2022-02-03T15:21:24Z,"24"
35_PropDG,Vicálvaro,https://wikidata.org/entity/Q589403,Valderrivas,https://wikidata.org/entity/Q43025770,Valderrivas,"Calle de Minerva, 17",Calle de Minerva,CalledeMinerva,3,22,"100, 50","100, 50",1,3,3,TOTALENERGIES,2022-02-03T15:21:24Z,"24"
3_MerM,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,CascoHistóricodeVallecas,Avenida de Legazpi,Avenida de Legazpi,AvenidadeLegazpi,2,50,50,50,1,2,2,DRIVE THE CITY,2022-02-03T15:21:24Z,"24"
5_MerM,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,CascoHistóricodeVallecas,Avenida de Legazpi,Avenida de Legazpi,AvenidadeLegazpi,1,50,50,50,1,2,2,DRIVE THE CITY,2022-02-03T15:21:24Z,"24"
6_MerM,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,CascoHistóricodeVallecas,Avenida Arganzuela,Avenida Arganzuela,AvenidaArganzuela,1,50,50,50,1,2,2,GIC (CIRCUTOR),2022-02-03T15:21:24Z,"24"
07_VP,Retiro,https://wikidata.org/entity/Q2002296,Ibiza,https://wikidata.org/entity/Q15249910,Ibiza,Calle Ibiza 1,Calle Ibiza,CalleIbiza,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
09_VP,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,Jerónimos,Plaza de la Lealtad,Plaza de la Lealtad,PlazadelaLealtad,2,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,"24"
10_CoCe20,Carabanchel,https://wikidata.org/entity/Q1001991,Buenavista,https://wikidata.org/entity/Q953929,Buenavista,"Calle Hilario Herranz Establos, 20",Calle Hilario Herranz Establos,CalleHilarioHerranzEstablos,1,50,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-02-03T15:21:24Z,"24"
08_CoCe20,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Argüelles,https://wikidata.org/entity/Q64874,Argüelles,"Calle Marqués de Urquijo, 27",Calle Marqués de Urquijo,CalleMarquésdeUrquijo,1,50,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-02-03T15:21:24Z,"24"
19_CoCe20,Villaverde,https://wikidata.org/entity/Q919536,"Villaverde Alto, Casco Histórico de Villaverde",https://wikidata.org/entity/Q390435,"VillaverdeAlto,CascoHistóricodeVillaverde","Calle Valle de Tobalina, 24",Calle Valle de Tobalina,CalleValledeTobalina,1,50,50,50,1,2,2,IBERDROLA,2022-02-03T15:21:24Z,"24"
04_CoCe20,Tetuán,https://wikidata.org/entity/Q1773540,Cuatro Caminos,https://wikidata.org/entity/Q5824684,CuatroCaminos,Calle Bravo Murillo 122,Calle Bravo Murillo,CalleBravoMurillo,2,50,50,50,1,2,2,DRIVE THE CITY,2022-02-03T15:21:24Z,"24"
11_CoCe20,Usera,https://wikidata.org/entity/Q953368,Orcasur,https://wikidata.org/entity/Q10341270,Orcasur,"Calle de Eduardo Barreiros, 2",Calle de Eduardo Barreiros,CalledeEduardoBarreiros,1,50,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-02-03T15:21:24Z,"24"
05_CoCe20,Tetuán,https://wikidata.org/entity/Q1773540,Cuatro Caminos,https://wikidata.org/entity/Q5824684,CuatroCaminos,"Avenida del General Perón, 21",Avenida del General Perón,AvenidadelGeneralPerón,1,50,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-02-03T15:21:24Z,"24"
12_CoCe20,Usera,https://wikidata.org/entity/Q953368,Orcasur,https://wikidata.org/entity/Q10341270,Orcasur,Avenida de Andalucía 38,Avenida de Andalucía,AvenidadeAndalucía,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
18_CoCe20,Hortaleza,https://wikidata.org/entity/Q1928529,Apóstol Santiago,https://wikidata.org/entity/Q11906303,ApostolSantiago,"Avenida de San Luis, 77",Avenida de San Luis,AvenidadeSanLuis,1,50,50,50,1,2,2,NATURGY,2022-02-03T15:21:24Z,"de 6:00 a 00:00 h"
20_CoCe20,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,CascoHistóricodeVallecas,Atolón 98,Atolón,Atolón,3,50,50,50,1,2,2,DRIVE THE CITY,2022-02-03T15:21:24Z,"24"
15_CoCe20,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Ventas,https://wikidata.org/entity/Q71762,Ventas,"Calle Ricardo Ortiz, 44",Calle Ricardo Ortiz,CalleRicardoOrtiz,1,50,50,50,1,2,2,Sudel,2022-02-03T15:21:24Z,"24"
17_CoCe20,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colina,https://wikidata.org/entity/Q18475981,Colina,"Calle Arturo Soria, 175",Calle Arturo Soria,CalleArturoSoria,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
16_CoCe20,Ciudad Lineal,https://wikidata.org/entity/Q1763694,San Pascual,https://wikidata.org/entity/Q165612,SanPascual,Calle Verdaguer y García 5,Calle Verdaguer y García,CalleVerdagueryGarcía,1,50,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-02-03T15:21:24Z,"24"
14_CoCe20,Moratalaz,https://wikidata.org/entity/Q2076109,Marroquina,https://wikidata.org/entity/Q11935636,Marroquina,Corregidor Sancho de Córdoba,Corregidor Sancho de Córdoba,CorregidorSanchodeCórdoba,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
23_CoCe20,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,CascoHistóricodeVallecas,"Avenida Mayorazgo, 20",Avenida Mayorazgo,AvenidaMayorazgo,1,50,50,50,1,2,2,GALP,2022-02-03T15:21:24Z,"24"
27_CoCe20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,Simancas,https://wikidata.org/entity/Q10371626,Simancas,"Avenida Arcentales, 7",Avenida Arcentales,AvenidaArcentales,1,50,50,50,1,2,2,GALP,2022-02-03T15:21:24Z,"24"
26_CoCe20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,Simancas,https://wikidata.org/entity/Q10371626,Simancas,Calle de Alcalá 510,Calle de Alcalá,CalledeAlcalá,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
28_CoCe20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,Arcos,https://wikidata.org/entity/Q9627876,Arcos,"Avenida Canillejas a Vicálvaro, 80",Avenida Canillejas a Vicálvaro,AvenidaCanillejasaVicálvaro,1,50,50,50,1,2,2,GALP,2022-02-03T15:21:24Z,"24"
29_CoCe20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,Rosas,https://wikidata.org/entity/Q18880469,Rosas,"Avenida Canillejas a Vicálvaro, 147",Avenida Canillejas a Vicálvaro,AvenidaCanillejasaVicálvaro,1,50,50,50,1,2,2,Cerdeira,2022-02-03T15:21:24Z,"24"
24_CoCe20,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Ensanche de Vallecas,https://wikidata.org/entity/Q3847485,EnsanchedeVallecas,Calle Alto del Retiro,Calle Alto del Retiro,CalleAltodelRetiro,1,50,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-02-03T15:21:24Z,"24"
30_CoCe20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,Rejas,https://wikidata.org/entity/Q10359029,Rejas,"Calle Deyanira, 10",Calle Deyanira,CalleDeyanira,1,50,50,50,1,2,2,NATURGY,2022-02-03T15:21:24Z,"24"
31_CoCe20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,Rejas,https://wikidata.org/entity/Q10359029,Rejas,"Calle Nanclares de Oca, 5-17",Calle Nanclares de Oca,CalleNanclaresdeOca,2,50,50,50,1,2,2,IBERDROLA,2022-02-03T15:21:24Z,"24"
21_CoCe20,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,CascoHistóricodeVallecas,"Avenida Eje Central, 7",Avenida Eje Central,AvenidaEjeCentral,1,50,50,50,1,2,2,NATURGY,2022-02-03T15:21:24Z,"24"
01_VP,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,Justicia,Calle Génova 24,Calle Génova,CalleGénova,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,"24"
31_PropDG,Villaverde,https://wikidata.org/entity/Q919536,San Cristóbal,https://wikidata.org/entity/Q390457,SanCristóbal,Calle Godella 116,Calle Godella,CalleGodella,3,22,"100, 50","100, 50",1,3,3,TOTALENERGIES,2022-02-03T15:21:24Z,"24"
26_VP,Salamanca,https://wikidata.org/entity/Q1773521,La Guindalera,https://wikidata.org/entity/Q3814559,Guindalera,"Calle Roberto Domingo, 4",Calle Roberto Domingo,CalleRobertoDomingo,2,22,"150, 50","150, 50",1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
