"property","value"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Aptripel_Tumimomor"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Orden_del_Mérito_Civil_(España)"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Orden_de_Isabel_la_Católica"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Josep_Borrell"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Ministro_de_Asuntos_Exteriores_de_España"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Margarita_Robles"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Ministerio_de_Asuntos_Exteriores,_Unión_Europea_y_Cooperación"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Arancha_González"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Arancha_González_Laya"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/María_Aránzazu_González_Laya"
"http://xmlns.com/foaf/0.1/topic","http://dbpedia.org/resource/Archer_Blood"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Archer_Blood"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Jorge_Meléndez_Celis"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Patricia_Donayre"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Ariela_Luna_Florez"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Ariela_Luna"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Arnulfo_Gasca_Trujillo"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Luis_Castillo_Fuenzalida"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Ministerio_de_Salud_(Chile)"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Subsecretaría_de_Redes_Asistenciales_de_Chile"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Arturo_Zúñiga"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Ascensión_Pastor_Parres"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Ashok-Alexander_Sridharan"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Valeri_Bganba"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Alexander_Ankvab"
