id_station,station_name,latitude,longitude,address,type
230.0,222 - Antonio López,-3.7026789,40.3917871,'Calle Eugenio Caxes frente al nº 12',STATION
231.0,223 - Ermita Santo,-3.7244893989507686,40.406837862773465,'Paseo de la Ermita del Santo nº 48',STATION
232.0,224 - Caramuel,-3.728533714316331,40.40913630273305,'Calle Caramuel nº 51',STATION
233.0,225 - Doctor Lozano,-3.660188083470652,40.40248333540473,'Calle Sierra Toledana nº 33',STATION
234.0,226 - Sierra Toledana,-3.6607768678037744,40.39901531507069,'Camino de Valderribas nº 94',STATION
235.0,228 - San Delfín,-3.708042972844556,40.39440607959559,'Calle San Delfín nº 9',STATION
236.0,227 - Concordia,-3.665936242935637,40.39382977920336,'Calle Arroyo del Olivar nº 6',STATION
237.0,229 - C.D. Concepción,-3.64835857929032,40.43715089959262,'Calle Jose del Hierro nº 5',STATION
238.0,230 - Carlota O’Neill,-3.648958444298144,40.44370542379883,'Calle Carlota O'Neill nº 32',STATION
239.0,231 - Derechos Humanos,-3.6557656204708775,40.43965673033275,'Calle Derechos Humanos nº 12',STATION
240.0,232 - José María Pereda,-3.648530615287515,40.43272086245887,'Calle José María de Pereda nº 1',STATION
241.0,233 - Marqués de Corbera 12,-3.6555552857442697,40.422962108947424,'Avenida Marqués de Corbera nº 12',STATION
242.0,234 - Marqués de Corbera 52,-3.651034981803642,40.42620714320088,'Avenida Marqués de Corbera nº 52',STATION
243.0,235 - Embajadores 191,-3.690358964335348,40.389258643579105,'Calle Sodio nº 1B',STATION
244.0,236 - Paseo Imperial,-3.7172213778842007,40.40765396169372,'Paseo Imperial nº 20',STATION
246.0,238 - San Germán 5,-3.69293767517953,40.45619382579544,'Calle San Germán nº 5',STATION
247.0,239 - Francos Rodríguez,-3.708002730875242,40.45673408797698,'Calle Francos Rodríguez nº 62',STATION
248.0,240 - Avenida Brasilia,-3.66096,40.43666,'Avenida de Brasilia frente al nº 9',STATION
249.0,241 - Camilo José Cela,-3.66779,40.4378,'Avenida de Camilo José Cela nº 23',STATION
250.0,242 - Avenida Bruselas,-3.66301,40.43865,'Avenida Bruselas nº 56',STATION
251.0,243 - Cartagena,-3.67012,40.43503,'Calle Cartagena nº 34',STATION
252.0,244 - Hospital Clínico,-3.71757,40.44003,'Calle Isaac Peral nº 44',STATION
253.0,245 - Galileo,-3.71019,40.4364,'Calle Galileo nº 63',STATION
254.0,246 - Santa Engracia 87,-3.69928,40.43604,'Calle Santa Engracia nº 87',STATION
256.0,248 - Torre Cepsa,-3.68797,40.47435,'Calle Sinesio Delgado nº 2',STATION
257.0,249 - Manuel Caldeiro,-3.68532,40.47938,'Paseo de la Castellana nº 298',STATION
258.0,250 - Serrano 113,-3.68609,40.44106,'Calle Serrano nº 113B',STATION
259.0,251 - Corazón de María,-3.66683,40.44421,'Calle Santa Hortensia nº 31',STATION
