id_free_place,latitude,longitude,complete_address,postal_code,country,community of spain,province,address,city
FreePlace328,-3.6451616,40.4084166,"'28030,ES,Madrid,Madrid,Avenida de Moratalaz 166,Madrid'",28030,ES,Madrid,Madrid,Avenida de Moratalaz 166,Madrid
FreePlace329,-3.742195,40.39063,"'28025,ES,Madrid,Madrid,Calle de la Laguna 95,Madrid'",28025,ES,Madrid,Madrid,Calle de la Laguna 95,Madrid
FreePlace330,-3.725425,40.405475,"'28011,ES,Madrid,Madrid,Jardín El capricho ,Madrid'",28011,ES,Madrid,Madrid,Jardín El capricho ,Madrid
FreePlace331,-3.6655999,40.4643783,"'28033,ES,Madrid,Madrid,Calle de Arturo soria 243B,Madrid'",28033,ES,Madrid,Madrid,Calle de Arturo soria 243B,Madrid
FreePlace332,-3.7299133,40.4036266,"'28047,ES,Madrid,Madrid,Calle Cjal. francisco josé jiménez martín 2,Madrid'",28047,ES,Madrid,Madrid,Calle Cjal. francisco josé jiménez martín 2,Madrid
FreePlace333,-3.688775,40.43562,"'28046,ES,Madrid,Madrid,Glorieta de Emilio castelar ,Madrid'",28046,ES,Madrid,Madrid,Glorieta de Emilio castelar ,Madrid
FreePlace334,-3.6062966,40.4352516,"'28022,ES,Madrid,Madrid,Plaza de Grecia 1,Madrid'",28022,ES,Madrid,Madrid,Plaza de Grecia 1,Madrid
FreePlace335,-3.6909183,40.3889816,"'28045,ES,Madrid,Madrid,Calle del Sodio 1,Madrid'",28045,ES,Madrid,Madrid,Calle del Sodio 1,Madrid
FreePlace336,-3.70333,40.465645,"'28039,ES,Madrid,Madrid,Calle de los Voluntarios catalanes 64B,Madrid'",28039,ES,Madrid,Madrid,Calle de los Voluntarios catalanes 64B,Madrid
FreePlace337,-3.7021566,40.40545,"'28012,ES,Madrid,Madrid,Glorieta de Embajadores 1,Madrid'",28012,ES,Madrid,Madrid,Glorieta de Embajadores 1,Madrid
FreePlace338,-3.6977716,40.396205,"'28045,ES,Madrid,Madrid,Calle del Divino vallés 28,Madrid'",28045,ES,Madrid,Madrid,Calle del Divino vallés 28,Madrid
FreePlace339,-3.6667616,40.41205,"'28007,ES,Madrid,Madrid,Pasaje Can mayor 4,Madrid'",28007,ES,Madrid,Madrid,Pasaje Can mayor 4,Madrid
FreePlace340,-3.6378233,40.4086716,"'28030,ES,Madrid,Madrid,Calle de Molina de segura 2,Madrid'",28030,ES,Madrid,Madrid,Calle de Molina de segura 2,Madrid
FreePlace341,-3.5411383,40.436305,"'28821,ES,Madrid,Madrid, M-21 ,Madrid'",28821,ES,Madrid,Madrid, M-21 ,Madrid
