ID_Punto,GESTIÓN,DISTRITO,COD_DIS,BARRIO,COD_BAR,ESTADO,UBICACIÓN,EMPLAZAMIENTO,INFO_ADICIONAL,N_EQUIPOS,CARACTERÍSTICAS_EQUIPO,OPERADOR,FECHA_APERTURA,FECHA_ALTA,FECHA_EDICION,HORARIO
02EMT,EMT,Salamanca,4,Recoletos,1,Ejecutado,Jardines del Descubrimiento - Acceso a Complejo de Aparcamientos subterráneos por Calle de la Armada Española,Aparcamiento,Aparcamiento público rotación. EMT,4,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,EMT,2018-01-03T01:00:00Z,2022-02-03T15:21:24Z,2024-01-24T11:24:04Z,24
03EMT,EMT,Salamanca,4,Lista,5,Ejecutado,Plaza de Marqués de Salamanca,Aparcamiento,Aparcamiento público rotación. EMT,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,EMT,2019-03-18T00:00:00Z,2022-02-03T15:21:24Z,2023-08-09T10:38:11Z,24
04EMT,EMT,Chamartín,5,Castilla,6,Ejecutado,Calle Hiedra 36,Aparcamiento,Aparcamiento público rotación. EMT,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,EMT,2018-10-16T00:00:00Z,2022-02-03T15:21:24Z,2023-12-21T08:04:25Z,24
01PRIV,Iniciativa privada,Centro,1,Palacio,1,Ejecutado,Plaza de la Cebada,Aparcamiento,Iniciativa privada,1,50 kW 2 conectores CC (CCS/Chademo),DRIVE THE CITY,2020-04-11T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
02PRIV,Iniciativa privada,Centro,1,Universidad,5,Ejecutado,Calle Alberto Aguilera 9,Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo),REPSOL,2013-12-04T22:00:00Z,2022-02-03T15:21:24Z,2022-06-17T06:54:22Z,
03PRIV,Iniciativa privada,Retiro,3,Adelfas,2,Ejecutado,Plaza del Conde de Casal 6,Aparcamiento,Aparcamiento privado rotación. Iniciativa privada,2,50 kW 2 conectores CC (CCS/Chademo),DRIVE THE CITY,2020-04-11T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
04PRIV,Iniciativa privada,Fuencarral - El Pardo,8,El Goloso,8,Ejecutado,"Calle del Monasterio de Arlanza, 20 (Centro Comercial Montecarmelo)",Aparcamiento,Aparcamiento privado rotación. Iniciativa privada,2,50 kW 2 conectores CC (CCS/Chademo),IBERDROLA,2019-12-28T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
05PRIV,Iniciativa privada,Hortaleza,16,Canillas,3,Ejecutado,Avenida de Machupichu 105,Estación de servicio,Iniciativa privada,1,50 kW 2 conectores CC (CCS/Chademo),GIC,2016-12-28T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
06PRIV,Iniciativa privada,Hortaleza,16,Valdefuentes,6,Ejecutado,Avenida de Niceto Alcala Zamora 20,Estación de servicio,Iniciativa privada,1,50 kW 2 conectores CC (CCS/Chademo),GIC/ GALP,2020-10-31T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
07PRIV,Iniciativa privada,Villa de Vallecas,18,Casco Histórico de Vallecas,1,Ejecutado,"Avenida Eje Central, 7",Estación de servicio,Iniciativa privada,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,NATURGY,2019-12-31T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
08PRIV,Iniciativa privada,Villa de Vallecas,18,Casco Histórico de Vallecas,1,Ejecutado,Carretera de Villaverde a Vallecas 278,Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo),REPSOL,2018-01-31T23:00:00Z,2022-02-03T15:21:24Z,2022-06-17T06:57:01Z,
09PRIV,Iniciativa privada,Barajas,21,Corralejos,5,Ejecutado,Avenida del Consejo de Europa 2,Estación de servicio,Iniciativa privada,4,350 kW conector CC (CCS),GIC / CEPSA,2020-10-31T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
10PRIV,Iniciativa privada,Barajas,21,Corralejos,5,Ejecutado,Avenida del Partenón 5 (Recinto IFEMA),Aparcamiento,Aparcamiento privado rotación. Iniciativa privada,2,50 kW 2 conectores CC (CCS/Chademo),IBERDROLA,2019-12-28T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
1PropDG,Concesión demanial,Arganzuela,2,Palos de Moguer,6,Ejecutado,"Calle del General Lacy, 21",Vía pública,,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",TOTALENERGIES,2024-05-26T22:00:00Z,2022-02-03T15:21:24Z,2024-01-07T10:16:20Z,24
22PropDG,Concesión demanial,Moratalaz,14,Pavones,1,Ejecutado,Calle Hacienda de Pavones 231 (enfrente del LIDL),Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,2024-05-06T22:00:00Z,2022-02-03T15:21:24Z,2024-01-07T10:10:15Z,24
27PropDG,Concesión demanial,Hortaleza,16,Pinar del Rey,4,Ejecutado,"Glorieta De Sandro Pertini (frente a edificio c/ Arequipa, 1)",Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,2024-05-06T22:00:00Z,2022-02-03T15:21:24Z,2024-01-07T10:09:34Z,24
30PropDG,Concesión demanial,Villaverde,17,Los Rosales,4,Ejecutado,Calle de Santa Florencia (enfrente del 1),Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,2024-06-20T22:00:00Z,2022-02-03T15:21:24Z,2024-01-07T10:11:29Z,24
35PropDG,Concesión demanial,Vicálvaro,19,Valderrivas,3,Ejecutado,"Calle de Minerva, 17",Vía pública,,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",TOTALENERGIES,2024-06-26T22:00:00Z,2022-02-03T15:21:24Z,2024-08-28T08:22:10Z,24
