ID_Punto,GESTIÓN,DISTRITO,same_as_wikidata_distrito,COD_DIS,BARRIO,same_as_wikidata_barrio,COD_BAR,ESTADO,UBICACIÓN,EMPLAZAMIENTO,INFO_ADICIONAL,N_EQUIPOS,CARACTERÍSTICAS_EQUIPO,OPERADOR,FECHA_APERTURA,FECHA_ALTA,FECHA_EDICION,HORARIO
04PRIV,Iniciativa privada,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,8,El Goloso,https://wikidata.org/entity/Q10271137,8,Ejecutado,"Calle del Monasterio de Arlanza, 20 (Centro Comercial Montecarmelo)",Aparcamiento,Aparcamiento privado rotación. Iniciativa privada,2,50 kW 2 conectores CC (CCS/Chademo),IBERDROLA,2019-12-28T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
05PRIV,Iniciativa privada,Hortaleza,https://wikidata.org/entity/Q1928529,16,Canillas,https://wikidata.org/entity/Q9694341,3,Ejecutado,Avenida de Machupichu 105,Estación de servicio,Iniciativa privada,1,50 kW 2 conectores CC (CCS/Chademo),GIC,2016-12-28T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
06PRIV,Iniciativa privada,Hortaleza,https://wikidata.org/entity/Q1928529,16,Valdefuentes,https://wikidata.org/entity/Q10388714,6,Ejecutado,Avenida de Niceto Alcala Zamora 20,Estación de servicio,Iniciativa privada,1,50 kW 2 conectores CC (CCS/Chademo),GIC/ GALP,2020-10-31T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
07PRIV,Iniciativa privada,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,1,Ejecutado,"Avenida Eje Central, 7",Estación de servicio,Iniciativa privada,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,NATURGY,2019-12-31T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
08PRIV,Iniciativa privada,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,1,Ejecutado,Carretera de Villaverde a Vallecas 278,Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo),REPSOL,2018-01-31T23:00:00Z,2022-02-03T15:21:24Z,2022-06-17T06:57:01Z,
09PRIV,Iniciativa privada,Barajas,https://wikidata.org/entity/Q807230,21,Corralejos,https://wikidata.org/entity/Q10260772,5,Ejecutado,Avenida del Consejo de Europa 2,Estación de servicio,Iniciativa privada,4,350 kW conector CC (CCS),GIC / CEPSA,2020-10-31T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
10PRIV,Iniciativa privada,Barajas,https://wikidata.org/entity/Q807230,21,Corralejos,https://wikidata.org/entity/Q10260772,5,Ejecutado,Avenida del Partenón 5 (Recinto IFEMA),Aparcamiento,Aparcamiento privado rotación. Iniciativa privada,2,50 kW 2 conectores CC (CCS/Chademo),IBERDROLA,2019-12-28T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
1PropDG,Concesión demanial,Arganzuela,https://wikidata.org/entity/Q2000929,2,Palos de la Frontera,https://wikidata.org/entity/Q521009,6,Ejecutado,"Calle del General Lacy, 21",Vía pública,,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",TOTALENERGIES,2024-05-26T22:00:00Z,2022-02-03T15:21:24Z,2024-01-07T10:16:20Z,"24"
22PropDG,Concesión demanial,Moratalaz,https://wikidata.org/entity/Q2076109,14,Pavones,https://wikidata.org/entity/Q71760,1,Ejecutado,Calle Hacienda de Pavones 231 (enfrente del LIDL),Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,2024-05-06T22:00:00Z,2022-02-03T15:21:24Z,2024-01-07T10:10:15Z,"24"
27PropDG,Concesión demanial,Hortaleza,https://wikidata.org/entity/Q1928529,16,Pinar del Rey,https://wikidata.org/entity/Q10349788,4,Ejecutado,"Glorieta De Sandro Pertini (frente a edificio c/ Arequipa, 1)",Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,2024-05-06T22:00:00Z,2022-02-03T15:21:24Z,2024-01-07T10:09:34Z,"24"
30PropDG,Concesión demanial,Villaverde,https://wikidata.org/entity/Q919536,17,Los Rosales,https://wikidata.org/entity/Q10319807,4,Ejecutado,Calle de Santa Florencia (enfrente del 1),Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,2024-06-20T22:00:00Z,2022-02-03T15:21:24Z,2024-01-07T10:11:29Z,"24"
35PropDG,Concesión demanial,Vicálvaro,https://wikidata.org/entity/Q589403,19,Valderrivas,https://wikidata.org/entity/Q43025770,3,Ejecutado,"Calle de Minerva, 17",Vía pública,,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",TOTALENERGIES,2024-06-26T22:00:00Z,2022-02-03T15:21:24Z,2024-08-28T08:22:10Z,"24"
3MerM,Acuerdo bilateral,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,1,Ejecutado,Parcela D.2.1 Anexo avenida de legazpi,Mercamadrid,-,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2021-08-16T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:56Z,"24"
5MerM,Acuerdo bilateral,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,1,Ejecutado,Parcela E4 Anexo Avda Legazpi,Mercamadrid,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2021-08-16T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,"24"
