PROVINCE,MUNICIPALITY,STATION_CODE,MAGNITUDE_CODE,TECHNIQUE,YEAR,MONTH,DAY,VALUE,VALID
28,79,18,8,8,2023,6,D01,22,true
28,79,18,8,8,2023,7,D01,11,true
28,79,18,8,8,2023,8,D01,15,true
28,79,18,8,8,2023,9,D01,36,true
28,79,18,8,8,2023,10,D01,38,true
28,79,18,8,8,2023,11,D01,23,true
28,79,18,8,8,2023,12,D01,18,true
28,79,18,10,47,2023,1,D01,38,true
28,79,18,10,47,2023,2,D01,28,true
28,79,18,10,47,2023,3,D01,15,true
28,79,18,10,47,2023,4,D01,18,true
28,79,18,10,47,2023,5,D01,11,true
28,79,18,10,47,2023,6,D01,10,true
28,79,18,10,47,2023,7,D01,9,true
28,79,18,10,47,2023,8,D01,11,true
28,79,18,10,47,2023,9,D01,25,true
28,79,18,10,47,2023,10,D01,23,true
28,79,18,10,47,2023,11,D01,19,true
28,79,18,10,47,2023,12,D01,8,true
28,79,18,12,8,2023,1,D01,82,true
28,79,18,12,8,2023,2,D01,113,true
28,79,18,12,8,2023,3,D01,50,true
28,79,18,12,8,2023,4,D01,10,true
28,79,18,12,8,2023,5,D01,11,true
28,79,18,12,8,2023,6,D01,26,true
28,79,18,12,8,2023,7,D01,13,true
28,79,18,12,8,2023,8,D01,17,true
28,79,18,12,8,2023,9,D01,44,true
28,79,18,12,8,2023,10,D01,45,true
28,79,18,12,8,2023,11,D01,51,true
28,79,18,12,8,2023,12,D01,22,true
28,79,18,14,6,2023,1,D01,14,true
28,79,18,14,6,2023,2,D01,16,true
28,79,18,14,6,2023,3,D01,50,true
28,79,18,14,6,2023,4,D01,83,true
28,79,18,14,6,2023,5,D01,83,true
28,79,18,14,6,2023,6,D01,79,true
28,79,18,14,6,2023,7,D01,69,true
28,79,18,14,6,2023,8,D01,105,true
28,79,18,14,6,2023,9,D01,51,true
28,79,18,14,6,2023,10,D01,49,true
28,79,18,14,6,2023,11,D01,38,true
28,79,18,14,6,2023,12,D01,59,true
28,79,18,20,59,2023,1,D01,0.3,true
28,79,18,20,59,2023,2,D01,5.1,true
28,79,18,20,59,2023,3,D01,1.3,true
28,79,18,20,59,2023,4,D01,0.2,true
28,79,18,20,59,2023,5,D01,0.5,true
28,79,18,20,59,2023,6,D01,1.2,true
28,79,18,20,59,2023,7,D01,0.8,true
28,79,18,20,59,2023,8,D01,0.9,true
28,79,18,20,59,2023,9,D01,2.8,true
28,79,18,20,59,2023,10,D01,2.3,true
28,79,18,20,59,2023,11,D01,2.1,true
28,79,18,20,59,2023,12,D01,0.7,true
28,79,18,30,59,2023,1,D01,0.1,true
28,79,18,30,59,2023,2,D01,0.6,true
28,79,18,30,59,2023,3,D01,0.2,true
28,79,18,30,59,2023,4,D01,0.1,true
28,79,18,30,59,2023,5,D01,0.1,true
28,79,18,30,59,2023,6,D01,0.2,true
28,79,18,30,59,2023,7,D01,0.2,true
28,79,18,30,59,2023,8,D01,0.2,true
28,79,18,30,59,2023,9,D01,0.4,true
28,79,18,30,59,2023,10,D01,0.6,true
28,79,18,30,59,2023,11,D01,0.7,true
28,79,18,30,59,2023,12,D01,0.4,true
28,79,18,35,59,2023,1,D01,0.1,true
28,79,18,35,59,2023,2,D01,0.6,true
28,79,18,35,59,2023,3,D01,0.2,true
28,79,18,35,59,2023,4,D01,0.1,true
28,79,18,35,59,2023,5,D01,0.1,true
28,79,18,35,59,2023,6,D01,0.2,true
28,79,18,35,59,2023,7,D01,0.1,true
28,79,18,35,59,2023,8,D01,0.1,true
28,79,18,35,59,2023,9,D01,0.3,true
28,79,18,35,59,2023,10,D01,0.3,true
28,79,18,35,59,2023,11,D01,0.4,true
28,79,18,35,59,2023,12,D01,0.1,true
28,79,24,7,8,2023,1,D01,5,true
28,79,24,7,8,2023,2,D01,11,true
28,79,24,7,8,2023,3,D01,4,true
28,79,24,7,8,2023,4,D01,1,true
28,79,24,7,8,2023,5,D01,1,true
28,79,24,7,8,2023,6,D01,2,true
28,79,24,7,8,2023,7,D01,2,true
28,79,24,7,8,2023,8,D01,1,true
28,79,24,7,8,2023,9,D01,2,true
28,79,24,7,8,2023,10,D01,1,true
28,79,24,7,8,2023,11,D01,15,true
28,79,24,7,8,2023,12,D01,1,true
28,79,24,8,8,2023,1,D01,27,true
28,79,24,8,8,2023,2,D01,40,true
28,79,24,8,8,2023,3,D01,21,true
28,79,24,8,8,2023,4,D01,3,true
28,79,24,8,8,2023,5,D01,6,true
28,79,24,8,8,2023,6,D01,12,true
28,79,24,8,8,2023,7,D01,6,true
28,79,24,8,8,2023,8,D01,9,true
28,79,24,8,8,2023,9,D01,19,true
28,79,24,8,8,2023,10,D01,18,true
28,79,24,8,8,2023,11,D01,14,true
28,79,24,8,8,2023,12,D01,6,true
28,79,24,9,47,2023,1,D01,12,true
28,79,24,9,47,2023,2,D01,12,true
28,79,24,9,47,2023,3,D01,9,true
28,79,24,9,47,2023,4,D01,4,true
28,79,24,9,47,2023,5,D01,2,true
28,79,24,9,47,2023,6,D01,6,true
28,79,24,9,47,2023,7,D01,5,true
